"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","player_stat_id_299","player_injury_id_5884","0.3333333333333333",,"kent benson","kent bazemore","kent benson","kent bazemore","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_299","player_injury_id_5883","0.3333333333333333",,"kent benson","kent bazemore","kent benson","kent bazemore","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_607","player_injury_id_7508","0.0",,"ernie calverley","eric gordon","ernie calverley","eric gordon","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_2775","player_injury_id_7390","0.0",,"dave minor","dante exum","dave minor","dante exum","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_813","player_injury_id_4239","0.0",,"marcus cousin","markieff morris","marcus cousin","markieff morris","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_800","player_injury_id_6621","0.3333333333333333",,"chris corchiani","chris paul","chris corchiani","chris paul","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_1278","player_injury_id_8243","0.0",,"sharrod ford","shaquille harrison","sharrod ford","shaquille harrison","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_1278","player_injury_id_8242","0.0",,"sharrod ford","shaquille harrison","sharrod ford","shaquille harrison","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_1212","player_injury_id_7234","0.0",,"bob feerick","boban marjanovic","bob feerick","boban marjanovic","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_1982","player_injury_id_8949","0.0",,"jonas jerebko","jordan clarkson","jonas jerebko","jordan clarkson","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_219","player_injury_id_3638","0.0",,"dana barros","danilo gallinari","dana barros","danilo gallinari","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3893","player_injury_id_3112","0.0",,"gene stump","george hill","gene stump","george hill","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_2457","player_injury_id_3455","0.0",,"jerry lucas","jeff teague","jerry lucas","jeff teague","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3893","player_injury_id_3111","0.0",,"gene stump","george hill","gene stump","george hill","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3385","player_injury_id_6464","0.0",,"jackie ridgle","jae crowder","jackie ridgle","jae crowder","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_299","player_injury_id_2389","0.0",,"kent benson","kevin love","kent benson","kevin love","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3862","player_injury_id_114","0.0",,"alex stivrins","al horford","alex stivrins","al horford","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3862","player_injury_id_113","0.0",,"alex stivrins","al horford","alex stivrins","al horford","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_936","player_injury_id_3259","0.0",,"ron davis","rodney hood","ron davis","rodney hood","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_901","player_injury_id_3375","0.0",,"brandon davies","brook lopez","brandon davies","brook lopez","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3971","player_injury_id_1271","0.0",,"justus thigpen","julius randle","justus thigpen","julius randle","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3079","player_injury_id_6294","0.0",,"ray owes","rajon rondo","ray owes","rajon rondo","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_901","player_injury_id_3376","0.0",,"brandon davies","brook lopez","brandon davies","brook lopez","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_1247","player_injury_id_7135","1.0",,"dorian finney-smith","dorian finney-smith","dorian finney-smith","dorian finney-smith","1.0","1.0"
"LinearCombinationMatchingRule","player_stat_id_3034","player_injury_id_658","0.0",,"jahlil okafor","james harden","jahlil okafor","james harden","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3034","player_injury_id_657","0.0",,"jahlil okafor","james harden","jahlil okafor","james harden","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_1006","player_injury_id_7288","0.0",,"dwaine dillard","dwight powell","dwaine dillard","dwight powell","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_1383","player_injury_id_6068","1.0",,"marc gasol","marc gasol","marc gasol","marc gasol","1.0","1.0"
"LinearCombinationMatchingRule","player_stat_id_482","player_injury_id_5912","0.3333333333333333",,"anthony brown","anthony davis","anthony brown","anthony davis","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_482","player_injury_id_5911","0.3333333333333333",,"anthony brown","anthony davis","anthony brown","anthony davis","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_215","player_injury_id_5923","0.0",,"andre barrett","anthony davis","andre barrett","anthony davis","0.0","0.0"
"LinearCombinationMatchingRule","player_stat_id_3459","player_injury_id_3291","0.3333333333333333",,"rodney rogers","rodney hood","rodney rogers","rodney hood","0.3333333333333333","0.3333333333333333"
"LinearCombinationMatchingRule","player_stat_id_3267","player_injury_id_8654","0.0",,"ronnie price","robert covington","ronnie price","robert covington","0.0","0.0"
